Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
1963-07-01,2.77,-0.74,2.3,-2.46,-2.81,-5.16,-1.16,-0.32,-0.4,-0.85,-0.39,-1.53,0.47,-1.28,-0.75,3.24,-1.12,1.28,-1.87,-4.13,-3.3,-2.76,-0.23,-3.87,-2.98,-5.82,0.69,-4.35,0.27,2.07,0.54,-0.52,-5.97,-2.27,-0.52,-1.2,-3.47,-3.27,0.15,-2.66,-0.14,-1.35,-4.57,-1.85,-2.02,-4.87,1.34,3.41
1963-08-01,-0.57,4.49,5.25,1.88,6.9,4.55,7.77,5.01,5.96,4.28,5.07,8.52,9.38,4.36,7.09,4.06,5.87,3.28,8.06,-1.81,4.65,4.91,7.03,2.55,3.15,4.02,2.25,4.22,7.86,3.6,3.95,4.03,-0.98,3.33,4.2,7.0,4.92,9.43,5.31,6.9,3.83,6.4,0.89,3.9,2.63,3.23,5.21,9.49
1963-09-01,-2.21,-1.8,-1.17,0.96,-4.5,-5.56,-2.52,2.69,-1.65,-4.41,-1.57,-3.71,-4.39,-1.05,-3.65,-1.41,-1.43,-4.5,0.01,-2.32,-2.99,-2.03,0.11,-5.48,-2.82,-6.24,-3.0,-0.64,-5.24,-3.89,-2.77,2.09,-2.26,-1.55,1.6,-3.87,-0.42,4.32,-2.28,-4.15,-1.97,0.85,-2.8,-3.38,-1.62,-4.24,-4.5,2.56
1963-10-01,-0.42,2.41,0.81,-1.57,5.5,15.08,1.64,-2.25,3.96,2.37,2.53,9.27,2.51,3.17,0.33,5.45,-0.8,-0.93,1.29,2.7,3.73,-0.75,11.11,2.52,0.24,3.26,-2.61,4.52,8.96,-0.8,-0.96,3.14,2.07,0.75,8.27,9.64,1.08,-0.14,3.11,1.53,1.07,0.15,0.86,-1.58,1.2,4.58,1.09,3.15
1963-11-01,-3.33,-0.67,-0.85,-0.99,-5.9,-1.44,-4.73,-0.83,-0.45,-1.66,-0.85,0.62,-2.17,1.95,-5.2,1.75,-1.29,-2.41,-2.1,-2.36,-0.95,-1.95,-6.13,5.3,3.77,3.76,-4.21,2.83,0.58,-1.46,-1.29,3.87,-3.57,-2.66,-1.44,1.6,0.83,-1.82,-0.51,3.36,-4.35,-1.36,-3.81,-3.58,-4.44,-5.18,-0.29,0.45
1963-12-01,2.96,2.15,5.51,0.93,5.69,-2.61,-1.94,-3.09,3.97,-0.91,1.83,-3.1,1.7,4.22,0.05,3.04,0.62,-2.91,1.22,0.69,1.65,-2.83,-1.24,-6.57,0.01,-8.66,3.27,6.42,5.12,4.36,2.12,-0.38,-1.8,2.61,3.9,1.42,-3.79,0.52,-0.57,3.56,-0.96,0.05,1.43,2.54,1.25,0.71,0.43,5.8
1964-01-01,0.38,0.61,2.03,0.69,-1.99,-1.19,-1.56,5.67,1.43,-1.08,2.24,4.34,3.3,2.95,-0.36,1.97,1.73,1.73,4.14,7.19,3.28,-3.21,0.81,3.56,3.59,-5.94,-0.17,-0.39,4.2,4.56,1.1,3.02,-2.27,2.36,2.87,2.88,-0.73,-0.36,3.73,3.47,-2.03,2.5,-0.65,-3.85,0.25,-4.71,0.52,1.28
1964-02-01,-1.25,1.3,0.62,-0.43,2.38,2.09,2.42,7.03,0.68,1.39,1.54,4.2,1.11,1.98,-0.49,3.47,4.63,2.06,2.63,0.77,3.17,4.71,2.91,5.88,0.77,0.54,1.48,6.49,0.11,0.83,0.61,-0.54,7.79,2.47,3.34,-2.45,0.84,-0.55,-0.61,6.5,1.52,1.32,6.71,3.96,2.78,-1.55,4.57,1.7
1964-03-01,-3.67,0.77,6.2,6.62,10.06,3.34,0.27,-1.91,2.0,0.67,1.41,-4.49,-2.02,2.33,5.51,0.15,4.5,4.93,6.66,12.01,6.08,3.24,0.48,1.64,1.45,2.51,3.66,5.32,-2.36,1.14,-1.05,-1.21,-3.72,2.88,2.35,5.63,0.59,2.51,-0.77,2.93,4.23,1.97,3.69,0.45,-1.27,-0.17,1.14,-7.87
1964-04-01,1.07,-2.07,1.85,-1.9,1.54,-6.0,-2.22,1.39,-1.86,-0.69,0.1,-5.68,-1.3,-1.48,1.42,-0.77,-0.82,0.37,-3.86,-5.68,-0.4,-5.06,2.63,-4.99,-1.68,-9.34,-0.14,16.32,-4.77,3.95,0.76,0.54,-4.2,1.3,-3.85,-4.83,0.46,-1.08,-1.84,-1.49,-0.34,2.78,1.54,-2.4,-1.31,-4.21,0.12,2.39
1964-05-01,1.23,1.47,1.2,1.21,-0.44,-6.25,-0.14,1.09,1.95,1.55,1.42,0.53,0.24,2.08,7.34,5.47,-0.08,2.55,0.93,-0.89,1.98,-1.37,2.09,6.89,2.11,-2.18,-0.69,1.08,0.65,1.91,0.58,-0.65,-12.5,-0.23,4.53,-2.43,0.05,-1.46,-0.87,5.7,-0.32,3.94,-0.55,-0.99,-0.67,-1.51,0.65,-1.37
1964-06-01,6.2,1.97,2.17,0.19,-1.84,-1.44,-1.64,1.94,-0.12,3.77,1.27,-1.21,0.42,-0.87,3.89,-0.68,-0.13,3.3,0.59,12.02,3.23,-0.4,1.43,2.37,2.16,-3.38,-1.82,-1.27,-2.69,0.42,1.91,4.39,4.93,6.17,-0.61,2.28,0.2,0.49,0.89,3.46,3.18,3.63,2.17,-2.35,-0.33,-2.74,-1.05,-2.23
1964-07-01,0.66,0.51,2.96,7.62,0.11,-0.47,0.97,-0.12,0.42,3.71,1.74,1.78,4.71,1.87,4.15,5.52,1.13,0.41,0.32,1.92,1.65,7.33,5.57,4.29,9.21,1.76,4.74,1.79,1.11,3.07,4.61,-2.31,-1.56,1.86,-3.02,-0.04,-1.82,0.56,0.01,-0.37,2.03,0.81,0.64,0.37,4.33,6.16,0.69,3.88
1964-08-01,3.62,-1.4,-2.61,-2.14,6.32,-6.42,1.21,-1.19,-1.75,-1.2,-1.44,-1.22,-4.8,-2.54,-1.31,-2.12,-2.02,1.23,-0.36,-1.47,-1.07,2.45,1.63,5.2,-2.19,1.29,1.97,-0.37,-0.78,-2.16,-0.3,-1.84,3.33,1.12,-3.73,-2.18,0.52,-2.29,-2.45,-6.09,-4.89,0.32,-3.86,-2.54,-3.57,-3.48,-1.7,-0.79
